date,network,field,value
2026-04-08,telegram,content_day,3.0
2026-04-08,telegram,engagement_rate_day,1.1
2026-04-08,telegram,referrals_day,65.0
2026-04-08,telegram,subscribers,13172.0
2026-04-08,telegram,views_day,6627.0
2026-04-08,vk,content_day,3.0
2026-04-08,vk,engagement_rate_day,4.95
2026-04-08,vk,referrals_day,25.0
2026-04-08,vk,subscribers,22983.0
2026-04-08,youtube,content_day,2.0
2026-04-08,youtube,engagement_rate_day,1.1
2026-04-08,youtube,reactions_day,679.0
2026-04-08,youtube,referrals_day,20.0
2026-04-08,youtube,subscribers,90596.0
2026-04-08,youtube,views_day,61825.0
2026-04-09,instagram,engagement_rate_day,4.06
2026-04-09,instagram,reactions_day,53.0
2026-04-09,instagram,referrals_day,1.0
2026-04-09,instagram,subscribers,20161.0
2026-04-09,telegram,content_day,1.0
2026-04-09,telegram,engagement_rate_day,0.89
2026-04-09,telegram,referrals_day,48.0
2026-04-09,telegram,subscribers,13169.0
2026-04-09,telegram,views_day,3152.0
2026-04-09,vk,content_day,1.0
2026-04-09,vk,engagement_rate_day,4.58
2026-04-09,vk,referrals_day,8.0
2026-04-09,vk,subscribers,22986.0
2026-04-09,youtube,content_day,0.0
2026-04-09,youtube,engagement_rate_day,1.49
2026-04-09,youtube,reactions_day,1019.0
2026-04-09,youtube,referrals_day,16.0
2026-04-09,youtube,subscribers,90631.0
2026-04-09,youtube,views_day,68519.0
2026-04-10,instagram,engagement_rate_day,2.96
2026-04-10,instagram,reactions_day,50.0
2026-04-10,instagram,referrals_day,0.0
2026-04-10,instagram,subscribers,20166.0
2026-04-10,telegram,content_day,1.0
2026-04-10,telegram,engagement_rate_day,1.71
2026-04-10,telegram,referrals_day,22.0
2026-04-10,telegram,subscribers,13168.0
2026-04-10,telegram,views_day,3626.0
2026-04-10,vk,content_day,2.0
2026-04-10,vk,engagement_rate_day,4.21
2026-04-10,vk,referrals_day,8.0
2026-04-10,vk,subscribers,22989.0
2026-04-10,youtube,content_day,0.0
2026-04-10,youtube,engagement_rate_day,1.22
2026-04-10,youtube,reactions_day,888.0
2026-04-10,youtube,referrals_day,7.0
2026-04-10,youtube,subscribers,90647.0
2026-04-10,youtube,views_day,72873.0
2026-04-11,instagram,engagement_rate_day,3.92
2026-04-11,instagram,reactions_day,44.0
2026-04-11,instagram,referrals_day,1.0
2026-04-11,instagram,subscribers,20172.0
2026-04-11,telegram,content_day,1.0
2026-04-11,telegram,engagement_rate_day,2.41
2026-04-11,telegram,referrals_day,21.0
2026-04-11,telegram,subscribers,13165.0
2026-04-11,telegram,views_day,3652.0
2026-04-11,vk,engagement_rate_day,3.45
2026-04-11,vk,referrals_day,2.0
2026-04-11,vk,subscribers,22991.0
2026-04-11,youtube,content_day,1.0
2026-04-11,youtube,engagement_rate_day,1.24
2026-04-11,youtube,reactions_day,1226.0
2026-04-11,youtube,referrals_day,8.0
2026-04-11,youtube,subscribers,90670.0
2026-04-11,youtube,views_day,99147.0
2026-04-12,instagram,content_day,18.0
2026-04-12,instagram,engagement_rate_day,2.57
2026-04-12,instagram,reactions_day,95.0
2026-04-12,instagram,referrals_day,2.0
2026-04-12,instagram,subscribers,20174.0
2026-04-12,telegram,content_day,2.0
2026-04-12,telegram,engagement_rate_day,0.3
2026-04-12,telegram,referrals_day,40.0
2026-04-12,telegram,subscribers,13159.0
2026-04-12,telegram,views_day,5264.0
2026-04-12,vk,content_day,4.0
2026-04-12,vk,engagement_rate_day,5.62
2026-04-12,vk,referrals_day,10.0
2026-04-12,vk,subscribers,22992.0
2026-04-12,youtube,content_day,2.0
2026-04-12,youtube,engagement_rate_day,1.25
2026-04-12,youtube,reactions_day,888.0
2026-04-12,youtube,referrals_day,24.0
2026-04-12,youtube,subscribers,90696.0
2026-04-12,youtube,views_day,70810.0
2026-04-13,instagram,content_day,4.0
2026-04-13,instagram,engagement_rate_day,4.62
2026-04-13,instagram,reactions_day,150.0
2026-04-13,instagram,referrals_day,4.0
2026-04-13,instagram,subscribers,20170.0
2026-04-13,telegram,content_day,4.0
2026-04-13,telegram,engagement_rate_day,0.24
2026-04-13,telegram,referrals_day,25.0
2026-04-13,telegram,subscribers,13151.0
2026-04-13,telegram,views_day,8380.0
2026-04-13,vk,content_day,6.0
2026-04-13,vk,engagement_rate_day,4.15
2026-04-13,vk,referrals_day,11.0
2026-04-13,vk,subscribers,22993.0
2026-04-13,youtube,content_day,1.0
2026-04-13,youtube,engagement_rate_day,1.61
2026-04-13,youtube,reactions_day,664.0
2026-04-13,youtube,referrals_day,8.0
2026-04-13,youtube,subscribers,90698.0
2026-04-13,youtube,views_day,41270.0
2026-04-14,instagram,content_day,2.0
2026-04-14,instagram,engagement_rate_day,4.1
2026-04-14,instagram,reactions_day,164.0
2026-04-14,instagram,referrals_day,3.0
2026-04-14,instagram,subscribers,20177.0
2026-04-14,telegram,content_day,1.0
2026-04-14,telegram,engagement_rate_day,0.53
2026-04-14,telegram,referrals_day,5.0
2026-04-14,telegram,subscribers,13147.0
2026-04-14,telegram,views_day,3953.0
2026-04-14,vk,content_day,2.0
2026-04-14,vk,engagement_rate_day,2.94
2026-04-14,vk,referrals_day,8.0
2026-04-14,vk,subscribers,22998.0
2026-04-14,youtube,content_day,1.0
2026-04-14,youtube,engagement_rate_day,1.47
2026-04-14,youtube,reactions_day,772.0
2026-04-14,youtube,referrals_day,21.0
2026-04-14,youtube,subscribers,90721.0
2026-04-14,youtube,views_day,52567.0
2026-04-15,instagram,content_day,1.0
2026-04-15,instagram,engagement_rate_day,3.51
2026-04-15,instagram,reactions_day,80.0
2026-04-15,instagram,referrals_day,19.0
2026-04-15,instagram,subscribers,20181.0
2026-04-15,telegram,content_day,1.0
2026-04-15,telegram,engagement_rate_day,0.29
2026-04-15,telegram,referrals_day,168.0
2026-04-15,telegram,subscribers,13146.0
2026-04-15,telegram,views_day,3836.0
2026-04-15,vk,content_day,1.0
2026-04-15,vk,engagement_rate_day,4.91
2026-04-15,vk,referrals_day,17.0
2026-04-15,vk,subscribers,23002.0
2026-04-15,youtube,content_day,0.0
2026-04-15,youtube,engagement_rate_day,1.68
2026-04-15,youtube,reactions_day,366.0
2026-04-15,youtube,referrals_day,11.0
2026-04-15,youtube,subscribers,90727.0
2026-04-15,youtube,views_day,21739.0
2026-04-16,instagram,content_day,0.0
2026-04-16,instagram,engagement_rate_day,5.6
2026-04-16,instagram,reactions_day,183.0
2026-04-16,instagram,referrals_day,15.0
2026-04-16,instagram,subscribers,20185.0
2026-04-16,telegram,content_day,2.0
2026-04-16,telegram,engagement_rate_day,0.98
2026-04-16,telegram,referrals_day,66.0
2026-04-16,telegram,subscribers,13136.0
2026-04-16,telegram,views_day,3171.0
2026-04-16,vk,content_day,2.0
2026-04-16,vk,engagement_rate_day,4.46
2026-04-16,vk,referrals_day,15.0
2026-04-16,vk,subscribers,23004.0
2026-04-16,youtube,content_day,1.0
